NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
台南市基督教女青年會,社會教育、推廣教育、在宅服務、居家照顧、志願服務,老人、婦女、身心障礙,http://www.ywca-tainan.org.tw,ywcatn@ms37.hinet.net,06-2354908.06-2007738,台南市,方馨嫺 社工員
台南市基督教疼厝邊全人發展關顧協會,生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務、諮詢服務、社會宣導,其他、社區居民、家庭、兒童,http://tw.myblog.yahoo.com/clnasoc,clnc.tw@gmail.com,06-3039538,台南市,鄭文毓
台南市女性權益促進會,性別及婚姻支持服務,其他、家庭,http://tainanwr.iwomenweb.org.tw/,tainanwr@ms64.hinet.net,06-2149632,台南市,黃建民
台南市婦女福利服務中心,職業訓練、就業輔導、社會教育、推廣教育、權益倡導、輔導諮商、自殺防治、志願服務、親職教育、康樂休閒、資訊提供、法律諮詢、宣導防治,家庭、婦女,http://www.ymca-taianan.org.tw,mei1201@so-net.net.tw,06-2932538,南投縣,鄧純美
台南市循理疼厝邊服務協會,就業輔導、社會教育、推廣教育、經濟扶助、輔導諮商、自殺防治、志願服務、安親課輔、問安服務、關懷訪視,疾病患者、勞工、社區居民、原住民、家庭、婦女、青少年、兒童,http://www.npo.org.tw/NPOInfo/list.asp?OrgID=4984,r570202@ms72.hinet.net,06-2219713,台南市,黃瓊珠
台南市生命線協會,輔導諮商、自殺防治、志願服務、專業訓練、親職教育,疾病患者、社區居民、家庭、老人、婦女、青少年,http://1995Tainan.ho.net.Tw,r1203314@ms59.hinet.net,06-2281381,台南市,陳瑢娟
台南市自閉症協進會,職業訓練、就業輔導、社會教育、推廣教育、日間照顧、社區發展、權益倡導、輔導諮商、自殺防治、專業訓練、安親課輔、親職教育、問安服務、康樂休閒、資訊提供、法律諮詢、關懷訪視、健康維護,,,autism.so@msa.hinet.net,(06)2288719,台南市,陳淑惠.王怡閔.雲翔
台南縣志願服務協會,在宅服務、居家照顧、志願服務、關懷訪視,其他、老人、身心障礙,,t6357286@yahoo.com.tw,06-6357286,台南市,周淑婷
台東縣原住民社會福利促進協會,在宅服務、居家照顧、送餐服務、康樂休閒,原住民、老人、身心障礙,,a44433069@yahoo.com.tw,089-853398(成功-居照).089-359287(台東),台東縣,吳玉琴
台東縣天主教愛德婦女協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、社區居住/照顧、志工培訓、管理,老人、婦女、青少年、兒童,http://www.twlca.org/twlca2/,lca335482@gmail.com,08-9335482,台東縣,唐菊英
台東縣家庭照顧者關懷協會,社會教育、推廣教育、輔導諮商、自殺防治、資訊提供、宣導防治、關懷訪視,,https://www.unitedway.org.tw/%E7%84%A1,er19510718@yahoo.com.tw,-,,毛秋鈴
台東縣志願服務協會,教育輔導、志工培訓、管理,其他、青少年,,a333192.service@msa.hinet.net,08-9333192,台東縣,鐘雅文
台東縣蘭嶼鄉居家關懷協會,家屬或照顧者支持與訓練、到宅服務、志工培訓、管理,社區居民、原住民、老人、身心障礙,http://www.kokai.org.tw,kokai@kokai.org.tw,08-9732848分機12,台東縣,施彩雪
台東縣鹿野鄉社區健康促進協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、諮詢服務和轉介、其他,其他、社區居民、原住民、家庭、老人、青少年、身心障礙,https://www.facebook.com/pages/%E8%87%BA%E6%9D%B1%E7%B8%A3%E9%B9%BF%E9%87%8E%E9%...,tai4212@yahoo.com.tw；happyhometoys@yahoo.com.tw,89-089580871；0928169758,台東縣,徐坤民
台灣八八水災小林村重建發展協會,生活層面之支持與重建、休閒/體育及文化活動、就業服務、社區營造/文化產業,社區居民,,alisa720319@gmail.com,07-6775002,高雄市,廖英淑
台灣刑事法學會,,,http://www.tcls.org.tw,tcls.law@msa.hinet.net,02-23753224,台北市,陳韻任
台灣原住民族學院促進會,社會教育、推廣教育、社區發展、權益倡導、其他,原住民,http://atipc.homelinux.org/,atipc.tw@gmail.com,-04-92421167,南投縣,金惠雯
台灣國際家庭互助協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、性別及婚姻支持服務、社會網絡與倡導,社區居民、組織專業、家庭、婦女、兒童,http://tifa1105.blogspot.tw/,tifa1105@gmail.com,02-29778015,新北市,謝宛岑
台灣國際身心障礙游泳協會,專業訓練、家屬或照顧者支持與訓練、休閒/體育及文化活動、諮詢服務、志工培訓、管理,社區居民、組織專業、家庭、青少年、兒童、身心障礙,http://www.taiwanidsa.com,yylisayy@hotmail.com,-02-27170822,,陳懿卿
台灣基督教好牧人全人關顧協會,,,,shihchinw@yahoo.com.tw,04-24850890分機14,台中市,王世欽
台灣基督長老教會承辦高雄縣身心障礙福利服務中心,職業訓練、就業輔導、社會教育、推廣教育、經濟扶助、權益倡導、早期療育、志願服務、專業訓練、輔具服務、托育服務、親職教育、康樂休閒、資訊提供、關懷訪視,其他、社區居民、身心障礙,http://www.shepherdhouse.org.tw,coaching@ms24.hinet.net,07-6626730,高雄市,莊雅玲督導
台灣女人連線,社會宣導、性別及婚姻支持服務、社會網絡與倡導、其他,婦女,http://twl.ngo.org.tw/,twl555@yahoo.com.tw,02-23929164,台北市,熊晨妤
台灣展翅協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、就業服務、社會網絡與倡導,社區居民、婦女、青少年,http://www.ecpat.org.tw,ecpattw@ecpat.org.tw,02-25621233分機10,台北市,李麗芬
台灣彩虹愛家生命教育協會,教育輔導、志工培訓、管理、性別及婚姻支持服務、社會網絡與倡導,其他、婦女、青少年、兒童,http://www.rainbowkids.org.tw/~srf12/modules/tadnews/,teens0@rkf.org.tw,02-82301760分機209,台北市,林煜捷
台灣心理衛生社會工作學會,社會教育、推廣教育、權益倡導、專業訓練,組織專業、家庭、婦女,http://www.mhsw.org.tw,psysw@ms93.url.com.tw,02-27632967,台北市,林敬凡
台灣揚帆協會,,,http://www.taiwansail.org/,sail3405@gmail.com,03-8663405,花蓮縣,梅慧敏
台灣樂業協會,生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務、職前準備及訓練,其他、勞工、婦女,http://www.careergo.org.tw,service@careergo.org.tw,02-66372515,新北市,李美瑩
台灣海洋性貧血協會,生活層面之支持與重建、心理層面之支持、重建、諮商、照顧者支持與訓練,其他、疾病患者、家庭、身心障礙,http://www.thala.org.tw,thala@thala.org.tw,02-23891250,台北市,黃秀敏
台灣省寧園安養院,生活層面之支持與重建、休閒/體育及文化活動、住宿服務、照顧者支持與訓練、社會網絡與倡導,社區居民、家庭、青少年、身心障礙,http://www.stjoseph.com.tw/,stjoseph6@gmail.com,03-5979066分機106,新竹縣,劉雯文
台灣省社會發展研究學會,社會教育、推廣教育、社區發展、權益倡導、專業訓練、資訊提供,組織專業,,x1520@meiho.edu.tw,-04-233230005215,台中市,黃松林
台灣社區互助照顧行動協會,,,http://indecare.blogspot.tw/,indecare.tw@gmail.com,08-7851664,屏東縣,金天立
台灣社會工作專業服務品質策進協會,專業訓練、教育輔導、其他,其他,https://www.facebook.com/socialworkquality,shrc_sw@yahoo.com.tw,04-25650205/22289111*36451/36452,台中市,陳倍玉
台灣社會福利總盟,社會宣導、社會網絡與倡導、其他,其他、組織專業,http://www.tswl.org.tw/,tswl0624@gmail.com,02-23213651,台北市,黃政偉
台灣脊髓肌肉萎縮症病友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、諮詢服務和轉介,身心障礙,http://www.taiwansma.org.tw,taiwansma@gmai.com,07-2010675,高雄市,潘盈蓁
台灣觸愛協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、照顧者支持與訓練,社區居民、家庭、婦女、青少年,https://www.facebook.com/TWtouchlove,acgc.ch@gmail.com,06-2377310,台南市,黃筱芸
台灣身心障礙福利商品推廣聯盟,就業準備及訓練、就業服務、社會宣導、其他,其他、勞工、身心障礙,http://www.tka.org.tw,katie.tsai@livemail.tw,05-2623011,嘉義縣,蔡家惠
台灣預防醫學學會,生活層面之支持與重建、心理層面之支持、重建、諮商、保護管束與更生保護、疾病或藥酒毒癮服務,其他、藥酒毒癮者,http://www.aids.org.tw,gavin19760303@yahoo.com.tw,02-23920010,台北市,洪浚珀
嘉義縣民雄鄉西昌社區發展協會,社會教育、推廣教育、社區發展、志願服務、問安服務、康樂休閒、資訊提供、關懷訪視、健康維護,社區居民、家庭、老人、婦女、青少年、兒童,http://www.hometown.org.tw/community/index.php?CommID=1538,zzzqk@yahoo.com.tw,05-2263593,嘉義縣,陳森露
嘉義縣私立大林教養院,收容安置、日間照顧、托育服務、親職教育、關懷訪視、健康維護,身心障礙,http://dalin1234.myweb.hinet.net,dalin.a1234@msa.hinet.net,-05-2951415,嘉義縣,劉美玲
國立中央大學學習科技研究中心,其他,其他,https://www.unitedway.org.tw/%E8%AB%8B%E5%A1%AB%E7%B6%B2%E5%9D%80,amychen@cl.ncu.edu.tw,03-4227151#35404,桃園縣,陳玉芬
國立台灣大學社會系,,,,angline1007@yahoo.com,02-23683581,台北市,許瑞妤
國際社會福利協會中華民國總會,專業訓練、資訊提供、其他,組織專業,http://www.icsw.org.tw,icsw_taiwan@yahoo.com,02-27812977,台北市,黃培潔
基督教台灣信義會全人關懷中心,輔導諮商、自殺防治、志願服務、專業訓練、安親課輔、親職教育、關懷訪視、健康維護,社區居民、家庭、老人、婦女、青少年、兒童,,hoficace@ms41.hinet.net,04-22056797,台中市,主任 張浙舟
基隆市失業勞工保護協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、社區營造/文化產業、諮詢服務和轉介,勞工、原住民、家庭、婦女、青少年、兒童、身心障礙,https://www.unitedway.org.tw/%E7%84%A1,chinghsu51@gmail.com,02-24528993,基隆市,徐瑋菁
基隆市政府委託財團法人伊甸社會福利基金會辦理基隆市身心障礙福利服務中心,,,,,24662355*244,基隆市,吳淑慈主任
宜蘭縣南澳鄉公所,,,https://www.unitedway.org.tw/%E8%AB%8B%E5%A1%AB%E7%B6%B2%E5%9D%80,,03-9984536,宜蘭縣,陳淑如
宜蘭縣政府委託伊甸社會福利基金會辦理老人日間照顧中心,日間照顧,老人,http://www.eden.org.tw,a3668@ms23.hinet.net,03-9355120,宜蘭縣,薛秀圭
宜蘭縣礁溪鄉時潮社區發展協會,社會教育、推廣教育、社區發展、志願服務、送餐服務、問安服務、關懷訪視,社區居民、組織專業、老人、兒童、身心障礙,http://shchau.e-land.gov.tw/,a89031151@yahoo.com.tw,03-9870172,宜蘭縣,曾琪富
宜蘭縣社會福利館老人日間照顧中心,職業訓練、就業輔導、日間照顧、在宅服務、居家照顧、早期療育,,http://www.eden.org.tw,edenel55@ms48.hinet.net,03-9355120,宜蘭縣,林文明.薛秀圭
屏東基督教勝利之家承辦屏東縣北區發展遲緩兒童早期療育通報轉介中心,社會教育、推廣教育、早期療育、資訊提供,兒童,http://www.vhme.com.tw,,08-7382592,屏東縣,張雅惠
屏東縣基督教青年會,心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、志工培訓、管理,青少年,,hannahjesus@hotmail.com,08-7341541,屏東縣,謝雅馨
屏東縣水噹噹關懷協會,,,http://www.ptb-beauty.appspot.com/news.html#,singlefamily43@gmail.com,08-7365001,屏東市,邱玉雯
屏東縣泰武鄉平和社區發展協會,,,http://www.e-tribe.org.tw/piuma/,longan0420@gmail.com,08-7851664,屏東縣,金天立
屏東縣海口人社區經營協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介,社區居民、家庭、婦女、青少年、兒童,http://www.wretch.cc/blog/hico890109,tscheng530805@yahoo.com.tw,08-8338610分機0,屏東縣,曾鴻志
屏東縣霧台鄉大武部落就地重建協會,,,https://www.unitedway.org.tw/%E7%84%A1,q112820@gmail.com,08-7902153、0925-102-711,屏東縣,彭玉花
屏東縣霧台鄉愛鄉發展協會,生活層面之支持與重建、社區營造/文化產業、其他,組織專業、老人、婦女、青少年、兒童、身心障礙,,dresedrese8@gmail.com,08-7995946分機0,屏東縣,勒斯樂絲
常青啟智文教基金會附設智能不足者日間托育中心,職業訓練、就業輔導、日間照顧、早期療育、托育服務、親職教育、其他,其他、社區居民、組織專業、家庭、身心障礙,http://ycchou.idv.tw/evergreen/,evg.found@msa.hinet.net,03-5312890,新竹市,尹筱榕
彭婉如文教基金會,職業訓練、就業輔導、在宅服務、居家照顧、輔導諮商、自殺防治、安親課輔、宣導防治,家庭、婦女、兒童,http://www.pwr.org.tw,pengwan@ms13.hinet.net,,台北市,林思瑩、劉容任
彰化縣埔鹽鄉廍子社區發展協會,,,http://www.puyanbuzi.org.tw/,wintaia123@yahoo.com.tw,04-8657462,彰化縣,陳素雲
彰化縣基督教青少年福利促進協會,心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、諮詢服務、社區營造/文化產業,其他、社區居民、青少年、兒童,http://www.sunflowerschool-tw.com,tk8971741@yahoo.com.tw,04-8971741,彰化縣,張淑容
彰化縣志願服務協會,社會教育、推廣教育、社區發展、志願服務、專業訓練、康樂休閒,社區居民、組織專業、老人、婦女,http://www.chvol.gov.tw,vol500@hibox.hinet.net,04-8380699,彰化縣,林美織
